=== Spjall WebSocket Server ===
Listening on ws://0.0.0.0:8081
Press Ctrl+C to stop

[+] New connection: ws_694fc0acc3ad9
[*] Handshake complete: ws_694fc0acc3ad9
[<] ws_694fc0acc3ad9: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_694fc0acc3ad9: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_694fc0acc3ad9: {"type":"load_history","payload":{"conversation_id":7,"before":1766775753,"limit":50}}
[>] ws_694fc0acc3ad9: {"type":"history","payload":{"conversation_id":7,"messages":[],"has_more":false,...
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[+] New connection: ws_694fc806431b7
[*] Handshake complete: ws_694fc806431b7
[<] ws_694fc806431b7: {"type":"auth","payload":{"token":"7a9d18e0c147efe8e36621461304b3a5f7307698774a67ebf3f33ffcbbf9ba56"}}
[>] ws_694fc806431b7: {"type":"auth_ok","payload":{"user":{"id":8,"nickname":"Bjartur"},"conversations...
[>] ws_694fc0acc3ad9: {"type":"user_online","payload":{"user":{"id":8,"nickname":"Bjartur"}}}
[<] ws_694fc806431b7: {"type":"load_history","payload":{"conversation_id":1,"before":1766836230,"limit":50}}
[>] ws_694fc806431b7: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_694fc806431b7: {"type":"ping","payload":{}}
[>] ws_694fc806431b7: {"type":"pong","payload":[]}
[<] ws_694fc806431b7: {"type":"ping","payload":{}}
[>] ws_694fc806431b7: {"type":"pong","payload":[]}
[<] ws_694fc806431b7: {"type":"send_message","payload":{"conversation_id":1,"content":"Geturðu græjað _instant_ message valmöguleika?"}}
[>] ws_694fc0acc3ad9: {"type":"message","payload":{"id":61,"conversation_id":1,"user_id":8,"content":"...
[>] ws_694fc806431b7: {"type":"message","payload":{"id":61,"conversation_id":1,"user_id":8,"content":"...
[<] ws_694fc806431b7: {"type":"ping","payload":{}}
[>] ws_694fc806431b7: {"type":"pong","payload":[]}
[<] ws_694fc806431b7: {"type":"send_message","payload":{"conversation_id":1,"content":"https://youtu.be/NIk_0AW5hFU"}}
[>] ws_694fc0acc3ad9: {"type":"message","payload":{"id":62,"conversation_id":1,"user_id":8,"content":"...
[>] ws_694fc806431b7: {"type":"message","payload":{"id":62,"conversation_id":1,"user_id":8,"content":"...
[<] ws_694fc806431b7: {"type":"ping","payload":{}}
[>] ws_694fc806431b7: {"type":"pong","payload":[]}
[-] Disconnected: ws_694fc806431b7
[>] ws_694fc0acc3ad9: {"type":"user_offline","payload":{"user_id":8}}
[>] ws_694fc806431b7: {"type":"user_offline","payload":{"user_id":8}}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
[>] ws_694fc0acc3ad9: {"type":"pong","payload":[]}
[<] ws_694fc0acc3ad9: {"type":"ping","payload":{}}
